진료과,병원명,주소,평점,의사,온라인 예약 여부,의사 평점,리뷰수,병원링크,평점구간
치과,월곡나무치과의원,서울특별시 성북구 오패산로 46,7.7,['김도연'],False,['7.7'],7,https://www.modoodoc.com/hospital/2718/%EC%9B%94%EA%B3%A1%EB%82%98%EB%AC%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99/?#HospitalHiraPriceSection,"[7.5, 8.0)"
치과,이상한나라 앨리스치과,서울 성북구 도봉로 3,9.7,"['김소정', '심지현', '안희진']",True,"['9.8', '8.9', '9.7']",29,https://www.modoodoc.com/hospital/68468/%EC%9D%B4%EC%83%81%ED%95%9C%EB%82%98%EB%9D%BC-%EC%95%A8%EB%A6%AC%EC%8A%A4%EC%B9%98%EA%B3%BC-%EC%84%9C%EC%9A%B8-%EA%B8%B8%EC%9D%8C%EB%8F%99,"[9.5, 10.0)"
치과,예가치과의원,서울특별시 성북구 삼선교로10길 39 지상2층 (삼선동2가),8.4,['이태희'],False,['8.4'],10,https://www.modoodoc.com/hospital/2550/%EC%98%88%EA%B0%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%82%BC%EC%84%A0%EB%8F%992%EA%B0%80,"[8.0, 8.5)"
치과,서울민치과의원,"서울특별시 성북구 오패산로 98 201호 (하월곡동,로만프라자)",7.9,['원장'],False,['7.9'],6,https://www.modoodoc.com/hospital/1616/%EC%84%9C%EC%9A%B8%EB%AF%BC%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[7.5, 8.0)"
치과,이스터치과의원,서울특별시 성북구 종암로 132,7.5,"['이승윤', '이승준', '박건환']",False,"['7.5', '7.3', '0.0']",13,https://www.modoodoc.com/hospital/3861/%EC%9D%B4%EC%8A%A4%ED%84%B0%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A2%85%EC%95%94%EB%8F%99,"[7.5, 8.0)"
치과,테마가있는치과의원,서울특별시 성북구 화랑로 265 H 하우스 2층,8.4,['이정태'],False,['8.4'],21,https://www.modoodoc.com/hospital/3466/%ED%85%8C%EB%A7%88%EA%B0%80%EC%9E%88%EB%8A%94%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%9C%EC%B4%88%EA%B5%AC-%EC%84%9C%EC%B4%88%EB%8F%99,"[8.0, 8.5)"
치과,서울베스트치과의원,서울특별시 성북구 종암로 129 청한빌딩 3층,8.3,['유수환'],False,['8.3'],6,https://www.modoodoc.com/hospital/4053/%EC%84%9C%EC%9A%B8%EB%B2%A0%EC%8A%A4%ED%8A%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A2%85%EC%95%94%EB%8F%99,"[8.0, 8.5)"
치과,노아치과의원,서울특별시 성북구 정릉로 276,8.8,['노아치과의원 원장'],False,['8.8'],1,https://www.modoodoc.com/hospital/13423/%EB%85%B8%EC%95%84%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC/?#HospitalHiraPriceSection,"[8.5, 9.0)"
치과,사랑담은치과의원,서울 성북구 오패산로3길 3,9.3,['최동훈'],False,['9.3'],6,https://www.modoodoc.com/hospital/13017/%EC%82%AC%EB%9E%91%EB%8B%B4%EC%9D%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[9.0, 9.5)"
치과,윈치과의원,서울특별시 성북구 도봉로 29,9.8,['원치과 원장'],False,['9.8'],4,https://www.modoodoc.com/hospital/12868/%EC%9C%88%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[9.5, 10.0)"
치과,안녕사랑니치과의원,"서울특별시 성북구 동소문로 105, (주)하나은행 돈암동지점 2층 (동선동4가)",0.0,['안녕사랑니치과의원 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/81296/%EC%95%88%EB%85%95%EC%82%AC%EB%9E%91%EB%8B%88%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EB%8F%99%EC%84%A0%EB%8F%994%EA%B0%80,"[0.0, 0.5)"
치과,로덴치과병원,서울특별시 성북구 종암로 72,8.3,['송병춘'],False,['8.3'],5,https://www.modoodoc.com/hospital/4077/%EB%A1%9C%EB%8D%B4%EC%B9%98%EA%B3%BC%EB%B3%91%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A2%85%EC%95%94%EB%8F%99,"[8.0, 8.5)"
치과,서울효치과의원,서울특별시 성북구 보국문로 40-3,9.2,"['김민규', '안성진', '김혜진']",False,"['9.2', '0.0', '0.0']",17,https://www.modoodoc.com/hospital/3929/%EC%84%9C%EC%9A%B8%ED%9A%A8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A0%95%EB%A6%89%EB%8F%99,"[9.0, 9.5)"
치과,노종호치과의원,서울특별시 성북구 종암로24가길 53 종암에스케이아파트,8.0,['노종호'],False,['8.0'],5,https://www.modoodoc.com/hospital/4026/%EB%85%B8%EC%A2%85%ED%98%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A2%85%EC%95%94%EB%8F%99,"[8.0, 8.5)"
치과,연세이치과의원,서울특별시 성북구 돌곶이로 23,9.0,['연세이치과의원 원장'],False,['9.0'],1,https://www.modoodoc.com/hospital/13090/%EC%97%B0%EC%84%B8%EC%9D%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[9.0, 9.5)"
치과,서울훈치과의원,서울 성북구 종암로19길 6,9.5,['서울훈치과의원 원장'],False,['9.5'],1,https://www.modoodoc.com/hospital/71404/%EC%84%9C%EC%9A%B8%ED%9B%88%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A2%85%EC%95%94%EB%8F%99,"[9.5, 10.0)"
치과,이수스마트치과의원,서울특별시 동작구 동작대로 137,9.3,"['김태수', '강유미', '이지연']",True,"['9.3', '9.9', '9.3']",219,https://www.modoodoc.com/hospital/3963/%EC%9D%B4%EC%88%98-%EC%8A%A4%EB%A7%88%ED%8A%B8-%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%82%AC%EB%8B%B9%EB%8F%99,"[9.0, 9.5)"
치과,연세우리치과의원,서울 성북구 오패산로 75,9.4,['송동욱'],False,['9.4'],18,https://www.modoodoc.com/hospital/2406/%EC%97%B0%EC%84%B8%EC%9A%B0%EB%A6%AC%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[9.0, 9.5)"
치과,석관서울좋은치과의원,서울 성북구 화랑로 246 세일타운의류도매,7.8,['문석호'],False,['7.8'],9,https://www.modoodoc.com/hospital/1890/%EC%84%9D%EA%B4%80%EC%84%9C%EC%9A%B8%EC%A2%8B%EC%9D%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%84%9D%EA%B4%80%EB%8F%99,"[7.5, 8.0)"
치과,종암연세휴치과의원,서울시 성북구 종암로 122 (종암동 3-686) 시원빌딩 3층,8.6,"['박민재', '박효진', '최유림']",False,"['8.7', '7.8', '0.0']",21,https://www.modoodoc.com/hospital/85/%EC%A2%85%EC%95%94%EC%97%B0%EC%84%B8%ED%9C%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A2%85%EC%95%94%EB%8F%99,"[8.5, 9.0)"
치과,서울예담치과,서울특별시 성북구 화랑로 103,9.5,['문현일'],False,['9.5'],6,https://www.modoodoc.com/hospital/3922/%EC%84%9C%EC%9A%B8%EC%98%88%EB%8B%B4%EC%B9%98%EA%B3%BC-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[9.5, 10.0)"
치과,이주석치과의원,서울 성북구 성북로 5-1,8.6,['이주석'],False,['8.6'],16,https://www.modoodoc.com/hospital/3014/%EC%9D%B4%EC%A3%BC%EC%84%9D%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EB%8F%99%EC%86%8C%EB%AC%B8%EB%8F%992%EA%B0%80,"[8.5, 9.0)"
치과,대한치과의원,서울 성북구 보문로 93,7.0,['한상학'],False,['7.0'],1,https://www.modoodoc.com/hospital/818/%EB%8C%80%ED%95%9C%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EB%B3%B4%EB%AC%B8%EB%8F%995%EA%B0%80,"[7.0, 7.5)"
치과,정치과의원,서울 성북구 길음로13길 22,7.7,['정치과의원 원장'],False,['7.7'],7,https://www.modoodoc.com/hospital/13117/%EC%A0%95%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[7.5, 8.0)"
치과,아이세상치과의원,서울 성북구 월계로 30 (하월곡동),8.9,"['조재용', '문성권']",False,"['8.6', '9.2']",11,https://www.modoodoc.com/hospital/2153/%EC%95%84%EC%9D%B4%EC%84%B8%EC%83%81%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%ED%95%98%EC%9B%94%EA%B3%A1%EB%8F%99,"[8.5, 9.0)"
치과,서울미소치과의원,서울 성북구 정릉로10길 42-2,7.1,['이은숙'],False,['7.1'],3,https://www.modoodoc.com/hospital/1595/%EC%84%9C%EC%9A%B8%EB%AF%B8%EC%86%8C%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A0%95%EB%A6%89%EB%8F%99,"[7.0, 7.5)"
치과,이천구치과의원,"서울특별시 성북구 길음로 33, B동 지하1층 1호 (길음동, 길음뉴타운8단지아파트상가)",0.0,['이천구치과의원 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/81370/%EC%9D%B4%EC%B2%9C%EA%B5%AC%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EA%B8%B8%EC%9D%8C%EB%8F%99/?#HospitalHiraPriceSection,"[0.0, 0.5)"
치과,장남진치과의원,서울 성북구 종암로 92,8.5,['장남진치과의원 원장'],False,['8.5'],1,https://www.modoodoc.com/hospital/68115/%EC%9E%A5%EB%82%A8%EC%A7%84%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%A2%85%EC%95%94%EB%8F%99,"[8.5, 9.0)"
치과,명동콤비치과의원,서울 중구 남대문로 84 하이드파크 8층,9.7,"['황용인', '이우희', '이현영']",True,"['9.7', '9.7', '9.6']",617,https://www.modoodoc.com/hospital/114/%EB%AA%85%EB%8F%99%EC%BD%A4%EB%B9%84%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%9D%84%EC%A7%80%EB%A1%9C2%EA%B0%80/?#HospitalPriceSection,"[9.5, 10.0)"
치과,성신웰치과의원,서울특별시 성북구 동소문로 118,9.2,['이명호'],False,['9.2'],22,https://www.modoodoc.com/hospital/12807/%EC%84%B1%EC%8B%A0%EC%9B%B0%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC,"[9.0, 9.5)"
치과,서울치과의원,서울특별시 성북구 장위로 107 지상2층 (장위동),9.4,['서울치과의원 원장'],False,['9.4'],4,https://www.modoodoc.com/hospital/1814/%EC%84%9C%EC%9A%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%9E%A5%EC%9C%84%EB%8F%99,"[9.0, 9.5)"
치과,성북이엔이치과의원,"서울특별시 성북구 동소문로 315 지상10층 (길음동, 현대백화점)",7.4,['장명진'],False,['7.4'],4,https://www.modoodoc.com/hospital/1912/%EC%84%B1%EB%B6%81%EC%9D%B4%EC%97%94%EC%9D%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EA%B8%B8%EC%9D%8C%EB%8F%99/?#HospitalHiraPriceSection,"[7.0, 7.5)"
치과,서울참좋은치과의원,서울 성북구 장월로 146 닥터빌딩 4층,9.4,['서울참좋은치과의원 원장'],False,['9.4'],3,https://www.modoodoc.com/hospital/71301/%EC%84%9C%EC%9A%B8%EC%B0%B8%EC%A2%8B%EC%9D%80%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%9E%A5%EC%9C%84%EB%8F%99,"[9.0, 9.5)"
치과,동우미앤미치과의원,서울 성북구 한천로76다길 43,0.0,['동우미앤미치과의원 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/71091/%EB%8F%99%EC%9A%B0%EB%AF%B8%EC%95%A4%EB%AF%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%84%9D%EA%B4%80%EB%8F%99,"[0.0, 0.5)"
치과,내비플란트치과의원,서울특별시 성북구 종암로 113 2층 (종암동),0.0,['백난미'],False,['0.0'],0,https://www.modoodoc.com/hospital/3776/%ED%9C%B4%EB%A8%BC%EC%9D%98%EB%A3%8C%EC%86%8C%EB%B9%84%EC%9E%90%EC%83%9D%ED%99%9C%ED%98%91%EB%8F%99%EC%A1%B0%ED%95%A9%EC%98%81%ED%94%8C%EB%9E%80%ED%8A%B8%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A2%85%EC%95%94%EB%8F%99,"[0.0, 0.5)"
치과,미보치과의원,서울특별시 성북구 화랑로 248 장위뉴타워 6층,8.5,"['공윤수', '이창환', '박준규']",False,"['8.9', '8.3', '1.0']",39,https://www.modoodoc.com/hospital/178/%EB%AF%B8%EB%B3%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%84%9D%EA%B4%80%EB%8F%99,"[8.5, 9.0)"
치과,뉴타운치과의원,"서울특별시 성북구 삼양로13길 45, (길음동,대림(아)단지내상가 3층 303,304,305호) (길음동)",0.0,['뉴타운치과의원 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/76576/%EB%89%B4%ED%83%80%EC%9A%B4%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8-%EA%B8%B8%EC%9D%8C%EB%8F%99,"[0.0, 0.5)"
치과,시카고치과의원,서울특별시 성북구 정릉로 250 3층 (정릉동),9.0,['시카고치과의원 원장'],False,['9.0'],6,https://www.modoodoc.com/hospital/2063/%EC%8B%9C%EC%B9%B4%EA%B3%A0%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EC%A0%95%EB%A6%89%EB%8F%99/?#HospitalHiraPriceSection,"[9.0, 9.5)"
치과,굿모닝치과의원,서울 성북구 돌곶이로23길 3,9.3,['강태욱'],False,['9.3'],11,https://www.modoodoc.com/hospital/66812/%EA%B5%BF%EB%AA%A8%EB%8B%9D%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC/?#HospitalHiraPriceSection,"[9.0, 9.5)"
치과,김희균치과의원,서울특별시 성북구 동소문로 13,9.1,['김희균'],False,['9.1'],9,https://www.modoodoc.com/hospital/3965/%EA%B9%80%ED%9D%AC%EA%B7%A0%EC%B9%98%EA%B3%BC%EC%9D%98%EC%9B%90-%EC%84%9C%EC%9A%B8%EC%8B%9C-%EC%84%B1%EB%B6%81%EA%B5%AC-%EB%8F%99%EC%86%8C%EB%AC%B8%EB%8F%991%EA%B0%80,"[9.0, 9.5)"
치과,학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",0.0,['학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원) 원장'],False,['0.0'],0,https://www.modoodoc.com/hospital/81683/%ED%95%99%EA%B5%90%EB%B2%95%EC%9D%B8-%EA%B3%A0%EB%A0%A4%EC%A4%91%EC%95%99%ED%95%99%EC%9B%90-%EA%B3%A0%EB%A0%A4%EB%8C%80%ED%95%99%EA%B5%90%EC%9D%98%EA%B3%BC%EB%8C%80%ED%95%99%EB%B6%80%EC%86%8D%EB%B3%91%EC%9B%90%EC%95%88%EC%95%94%EB%B3%91%EC%9B%90-%EC%84%9C%EC%9A%B8-%EC%95%88%EC%95%94%EB%8F%995%EA%B0%80,"[0.0, 0.5)"
